3.28E-6	0.71411	0.71515	0.71795	0.72174	0.72558	0.72867	0.73056	0.73114	0.73056	0.729	0.72651	0.72277	0.71687	0.70676	0.68823	0.65228	0.57824	0.41292
3.29E-6	0.7145	0.71547	0.71809	0.72165	0.72527	0.72821	0.73003	0.73066	0.73021	0.72884	0.72657	0.72309	0.71744	0.7076	0.68932	0.65364	0.57984	0.41458
3.3E-6	0.71476	0.71566	0.71813	0.72148	0.72491	0.72771	0.7295	0.73018	0.72986	0.72868	0.72664	0.7234	0.71801	0.70841	0.69039	0.65495	0.58138	0.41617
3.31E-6	0.71494	0.71579	0.71811	0.72128	0.72454	0.72723	0.72899	0.72973	0.72954	0.72855	0.72673	0.72372	0.71858	0.70922	0.69143	0.65622	0.58285	0.41767
3.32E-6	0.71507	0.71587	0.71807	0.72107	0.72417	0.72677	0.72852	0.72932	0.72926	0.72845	0.72684	0.72407	0.71916	0.71003	0.69246	0.65744	0.58425	0.41907
3.33E-6	0.71512	0.71588	0.71796	0.72081	0.72378	0.72631	0.72805	0.72892	0.729	0.72837	0.72697	0.72442	0.71973	0.71082	0.69345	0.65862	0.58558	0.4204
3.34E-6	0.71514	0.71586	0.71784	0.72056	0.72341	0.72587	0.72761	0.72856	0.72877	0.72831	0.72712	0.72478	0.72031	0.71161	0.69443	0.65976	0.58684	0.42164
3.35E-6	0.7151	0.71579	0.71767	0.72027	0.72303	0.72543	0.72718	0.72821	0.72855	0.72827	0.72728	0.72516	0.72089	0.71239	0.69538	0.66086	0.58805	0.42281
3.36E-6	0.71503	0.71569	0.71749	0.71999	0.72265	0.72501	0.72679	0.72789	0.72837	0.72826	0.72746	0.72554	0.72148	0.71316	0.69631	0.66192	0.58918	0.42388
3.37E-6	0.71493	0.71556	0.71728	0.71969	0.72228	0.72461	0.72641	0.7276	0.7282	0.72826	0.72765	0.72593	0.72206	0.71392	0.69722	0.66294	0.59026	0.42489
3.38E-6	0.71482	0.71542	0.71708	0.7194	0.72193	0.72423	0.72606	0.72733	0.72807	0.72829	0.72787	0.72634	0.72265	0.71468	0.69811	0.66392	0.59127	0.42581
3.39E-6	0.71467	0.71525	0.71685	0.7191	0.72157	0.72386	0.72572	0.72708	0.72795	0.72834	0.72809	0.72675	0.72324	0.71542	0.69898	0.66486	0.59223	0.42666
3.4E-6	0.71453	0.71509	0.71663	0.71883	0.72125	0.72352	0.72542	0.72687	0.72787	0.72841	0.72834	0.72718	0.72384	0.71616	0.69983	0.66577	0.59313	0.42744
3.41E-6	0.71436	0.7149	0.7164	0.71853	0.72091	0.72319	0.72513	0.72667	0.7278	0.7285	0.7286	0.7276	0.72443	0.71689	0.70066	0.66663	0.59397	0.42814
3.42E-6	0.7142	0.71472	0.71618	0.71827	0.72062	0.72289	0.72488	0.7265	0.72776	0.72861	0.72887	0.72805	0.72503	0.71762	0.70147	0.66747	0.59475	0.42877
3.43E-6	0.71402	0.71453	0.71595	0.718	0.72032	0.7226	0.72464	0.72635	0.72773	0.72873	0.72916	0.7285	0.72562	0.71834	0.70226	0.66827	0.59548	0.42933
3.44E-6	0.71386	0.71435	0.71574	0.71775	0.72005	0.72234	0.72443	0.72624	0.72774	0.72888	0.72947	0.72896	0.72623	0.71905	0.70304	0.66904	0.59616	0.42983
3.45E-6	0.71368	0.71417	0.71553	0.71751	0.71979	0.7221	0.72424	0.72613	0.72776	0.72904	0.72978	0.72943	0.72683	0.71976	0.70379	0.66978	0.59679	0.43026
3.46E-6	0.71352	0.714	0.71533	0.71728	0.71956	0.72188	0.72408	0.72606	0.7278	0.72923	0.73012	0.72991	0.72744	0.72046	0.70454	0.67048	0.59737	0.43063
